"","trinkgruppe","einkommensgruppe","altersgruppe","sex","beverage_type","avg_wert_pro_stdd_w","ci_low_wert_pro_stdd_w","ci_high_wert_pro_stdd_w","n_haushalte"
"1","risikoarm","niedrig","18-34","Male","bier",0.660580940483988,0.579128021792184,0.742033859175792,115
"2","risikoarm","niedrig","18-34","Male","wein",0.571874036026921,0.500795601599027,0.642952470454815,101
"3","risikoarm","niedrig","18-34","Male","sprit",0.561434410658131,0.444795162953049,0.678073658363212,53
"4","all","all","all","all","misch",1.04333766067336,0.841608976681231,1.24506634466549,62
"5","risikoarm","niedrig","18-34","Female","bier",0.879012155068823,0.747160663927479,1.01086364621017,119
"6","risikoarm","niedrig","18-34","Female","wein",0.57614952754883,0.514532252018686,0.637766803078975,142
"7","risikoarm","niedrig","18-34","Female","sprit",0.50675066841353,0.375440396876264,0.638060939950796,43
"8","risikoarm","niedrig","35-59","Male","bier",0.48915296760584,0.447545209119951,0.530760726091728,153
"9","risikoarm","niedrig","35-59","Male","wein",0.517861129342869,0.457914451268021,0.577807807417717,120
"10","risikoarm","niedrig","35-59","Male","sprit",0.460437909541066,0.395757470917647,0.525118348164486,73
"11","risikoarm","niedrig","35-59","Female","bier",0.509522057374196,0.460502427748191,0.5585416870002,152
"12","risikoarm","niedrig","35-59","Female","wein",0.535115655809774,0.492429691156366,0.577801620463183,178
"13","risikoarm","niedrig","35-59","Female","sprit",0.463134946250752,0.401027803113117,0.525242089388386,77
"14","risikoarm","niedrig","60+","Male","bier",0.42789557298185,0.383929098783833,0.471862047179867,178
"15","risikoarm","niedrig","60+","Male","wein",0.549429189622711,0.502236386070803,0.596621993174618,145
"16","risikoarm","niedrig","60+","Male","sprit",0.524824437556269,0.420668717716871,0.628980157395666,82
"17","risikoarm","niedrig","60+","Female","bier",0.485914185612565,0.423761590786032,0.548066780439099,168
"18","risikoarm","niedrig","60+","Female","wein",0.563269511723374,0.520008795147172,0.606530228299576,209
"19","risikoarm","niedrig","60+","Female","sprit",0.539269812876343,0.417681025092669,0.660858600660017,101
"20","risikoarm","mittel","18-34","Male","bier",0.628784756049709,0.579737030494295,0.677832481605122,256
"21","risikoarm","mittel","18-34","Male","wein",0.659945885130037,0.596397786942714,0.723493983317361,221
"22","risikoarm","mittel","18-34","Male","sprit",0.555101082335932,0.496739012804246,0.613463151867618,128
"23","risikoarm","mittel","18-34","Female","bier",0.712870101356098,0.642309225184893,0.783430977527302,227
"24","risikoarm","mittel","18-34","Female","wein",0.635905408730838,0.571758348913535,0.70005246854814,236
"25","risikoarm","mittel","18-34","Female","sprit",0.58870045064845,0.492308679301402,0.685092221995497,89
"26","risikoarm","mittel","35-59","Male","bier",0.547926227330333,0.51343463663215,0.582417818028515,430
"27","risikoarm","mittel","35-59","Male","wein",0.630934039611358,0.57732788527604,0.684540193946676,369
