"","trinkgruppe","einkommensgruppe","altersgruppe","sex","beverage_type","avg_wert_pro_stdd_w","ci_low_wert_pro_stdd_w","ci_high_wert_pro_stdd_w","n_haushalte"
"1","hochriskant","niedrig","18-34","all","bier",0.433602338397691,0.313846216595214,0.553358460200167,13
"2","hochriskant","niedrig","18-34","all","wein",0.474196642535158,0.3392555821912,0.609137702879117,13
"3","hochriskant","niedrig","18-34","all","sprit",0.5146108794874,0.356496708566722,0.672725050408078,13
"4","hochriskant","niedrig","35+","all","bier",0.335091089775296,0.266090610777845,0.404091568772748,23
"5","hochriskant","niedrig","35+","all","wein",0.351140096312204,0.278956209051675,0.423323983572734,21
"6","hochriskant","niedrig","35+","all","sprit",0.366609952007254,0.303347745657417,0.429872158357092,16
"7","hochriskant","mittel","18-34","all","wein",0.57158056269033,0.414602183416259,0.7285589419644,15
"8","hochriskant","mittel","18-34","all","sprit",0.435763328726566,0.36355432516204,0.507972332291091,13
"9","hochriskant","mittel","35-59","all","sprit",0.352982129984768,0.257974852440989,0.447989407528547,14
"10","risikoarm","niedrig","18-34","Male","bier",0.660580940483988,0.579128021792184,0.742033859175792,115
"11","risikoarm","niedrig","18-34","Male","wein",0.571874036026921,0.500795601599027,0.642952470454815,101
"12","risikoarm","niedrig","18-34","Male","sprit",0.561434410658131,0.444795162953049,0.678073658363212,53
"13","risikoarm","niedrig","18-34","Female","bier",0.879012155068823,0.747160663927479,1.01086364621017,119
"14","risikoarm","niedrig","18-34","Female","wein",0.57614952754883,0.514532252018686,0.637766803078975,142
"15","risikoarm","niedrig","18-34","Female","sprit",0.50675066841353,0.375440396876264,0.638060939950796,43
"16","risikoarm","niedrig","35-59","Male","bier",0.48915296760584,0.447545209119951,0.530760726091728,153
"17","risikoarm","niedrig","35-59","Male","wein",0.517861129342869,0.457914451268021,0.577807807417717,120
"18","risikoarm","niedrig","35-59","Male","sprit",0.460437909541066,0.395757470917647,0.525118348164486,73
"19","risikoarm","niedrig","35-59","Female","bier",0.509522057374196,0.460502427748191,0.5585416870002,152
"20","risikoarm","niedrig","35-59","Female","wein",0.535115655809774,0.492429691156366,0.577801620463183,178
